Product ID,Product Name,Product Category,Target Market,Customer Segment,Customer Persona,Geography,Industry,Customer Pain Point,Value Proposition,Competitor Name,Competitor Price,Proposed Product Price,Pricing Model,Marketing Channel,Campaign Type,Campaign Budget,Expected Reach,Expected Leads,Expected Conversions,Conversion Rate %,Customer Acquisition Cost,Expected Revenue,Revenue Forecast,Market Demand Score,Product Readiness Score,Channel Effectiveness Score,Launch Risk Score,GTM Priority,Launch Phase,Launch Status,Price Discount %,Reach→Lead %,Lead→Conversion %,Campaign ROI %,Revenue per Conversion,Revenue / Budget,Efficiency Score
P001,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Startup Founder,India,SaaS,Manual repetitive work,Automates routine business tasks with AI,TaskFlow,999,699,Monthly Subscription,Instagram,Awareness Campaign,50000,85000,1700,170,10.0,294,118830,1425960,88,92,85,28,High,Pre-Launch,Ready,30.03003003003003,2.0,10.0,137.66,699.0,2.3766,85.05000000000001
P002,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Growth Manager,India,Marketing,Slow campaign planning,AI-powered campaign automation,WorkSmart,1999,1499,Monthly Subscription,LinkedIn,Lead Generation,75000,60000,1200,144,12.0,521,215856,2590272,91,92,88,25,High,Launch,Active,25.012506253126567,2.0,12.0,187.808,1499.0,2.87808,87.3
P003,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,IT Manager,India,Technology,Complex workflow management,Centralized AI workflow automation,EnterpriseFlow,4999,3999,Enterprise Subscription,LinkedIn,Webinar,120000,45000,600,72,12.0,1667,287928,3455136,94,88,90,32,High,Launch,Active,20.00400080016003,1.3333333333333335,12.0,139.94,3999.0,2.3994,86.30000000000001
P004,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Small Business Owner,Mumbai,Retail,Too much administrative work,Affordable AI task automation,TaskFlow,999,699,Monthly Subscription,Facebook,Paid Ads,45000,70000,1400,112,8.0,402,78288,939456,86,94,82,30,High,Launch,Active,30.03003003003003,2.0,8.0,73.97333333333333,699.0,1.7397333333333334,83.8
P005,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Product Manager,Bengaluru,SaaS,Poor project visibility,AI insights for better project decisions,WorkSmart,1999,1499,Monthly Subscription,Google Ads,Search Campaign,80000,55000,1100,121,11.0,661,181379,2176548,90,93,91,24,High,Launch,Active,25.012506253126567,2.0,11.0,126.72375,1499.0,2.2672375,88.2
P006,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,Operations Head,Delhi,Manufacturing,Disconnected workflows,Unified workflow automation,EnterpriseFlow,4999,3999,Enterprise Subscription,Direct Sales,Enterprise Outreach,150000,30000,450,54,12.0,2778,215946,2591352,93,89,94,27,High,Launch,Active,20.00400080016003,1.5,12.0,43.964,3999.0,1.43964,88.25
P007,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Freelancer,Pune,Professional Services,Limited productivity tools,Simple low-cost automation,FreeTask,799,599,Monthly Subscription,YouTube,Product Demo,35000,90000,1800,126,7.0,278,75474,905688,84,95,86,22,High,Pre-Launch,Ready,25.03128911138923,2.0,7.000000000000001,115.64000000000001,599.0,2.1564,86.05000000000001
P008,FlowPilot AI,AI Productivity SaaS,SMEs,Premium User,Agency Owner,Hyderabad,Digital Marketing,Managing multiple clients,One dashboard for client workflows,WorkSmart,1999,1499,Monthly Subscription,Instagram,Influencer Campaign,60000,80000,1600,176,11.0,341,263824,3165888,89,91,87,26,High,Launch,Active,25.012506253126567,2.0,11.0,339.70666666666665,1499.0,4.3970666666666665,86.0
P009,FlowPilot AI,AI Productivity SaaS,Enterprise,Enterprise Client,HR Director,Chennai,IT Services,Manual employee workflows,Automated employee task management,EnterpriseFlow,4999,3999,Enterprise Subscription,Email,Executive Campaign,70000,35000,700,70,10.0,1000,279930,3359160,92,90,89,29,High,Launch,Active,20.00400080016003,2.0,10.0,299.90000000000003,3999.0,3.999,86.55
P010,FlowPilot AI,AI Productivity SaaS,SMEs,Budget Buyer,Startup Founder,Kolkata,E-commerce,High operating workload,Affordable AI operations assistant,TaskFlow,999,699,Monthly Subscription,Email,Drip Campaign,30000,45000,900,72,8.0,417,50328,603936,87,94,84,23,High,Pre-Launch,Ready,30.03003003003003,2.0,8.0,67.75999999999999,699.0,1.6776,86.0
